City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bohodukhiv,9.0,UA,1573430310.0,100.0,50.16,35.52,5.0,5.0
karratha,0.0,AU,1573430311.0,53.0,-20.74,116.85,27.15,4.28
honiara,75.0,SB,1573430259.0,74.0,-9.43,159.96,30.0,1.8
hobart,100.0,AU,1573430053.0,48.0,-42.88,147.33,20.0,4.6
salisbury,100.0,GB,1573430312.0,93.0,51.07,-1.8,6.67,1.5
vaini,0.0,IN,1573430312.0,80.0,15.34,74.49,18.96,2.25
dikson,41.0,RU,1573430313.0,95.0,73.51,80.55,-12.15,3.76
ulaanbaatar,40.0,MN,1573430278.0,79.0,47.92,106.92,-6.0,0.14
cotonou,20.0,BJ,1573430314.0,94.0,6.37,2.43,26.0,1.0
salinas,1.0,US,1573430179.0,67.0,36.67,-121.66,23.0,6.2
butaritari,98.0,KI,1573430315.0,71.0,3.07,172.79,28.84,2.95
bambous virieux,40.0,MU,1573430315.0,94.0,-20.34,57.76,21.67,3.6
marsala,75.0,IT,1573430315.0,67.0,37.8,12.44,17.0,5.7
punta arenas,75.0,CL,1573430316.0,62.0,-53.16,-70.91,11.0,1.5
dubbo,47.0,AU,1573430316.0,30.0,-32.25,148.6,22.0,2.1
pacific grove,1.0,US,1573430317.0,72.0,36.62,-121.92,23.0,2.6
iqaluit,40.0,CA,1573430317.0,77.0,63.75,-68.52,-16.0,2.6
mao,75.0,DO,1573430317.0,83.0,19.55,-71.08,28.0,6.2
nouakchott,100.0,MR,1573430318.0,64.0,18.08,-15.98,23.0,5.1
cape town,21.0,ZA,1573430113.0,77.0,-33.93,18.42,18.89,3.6
clyde river,100.0,CA,1573430318.0,92.0,70.47,-68.59,-10.0,14.9
chuy,3.0,UY,1573430319.0,83.0,-33.69,-53.46,16.03,5.04
kipushi,85.0,CD,1573430319.0,73.0,-11.76,27.24,17.58,1.51
harlingen,20.0,NL,1573430319.0,93.0,53.18,5.41,7.0,3.1
bogo,53.0,CM,1573430320.0,38.0,10.74,14.61,26.41,0.38
mecca,3.0,SA,1573430179.0,58.0,21.43,39.83,25.23,1.07
hermanus,63.0,ZA,1573430321.0,87.0,-34.42,19.24,18.89,5.81
tiksi,95.0,RU,1573430321.0,96.0,71.64,128.87,-23.74,0.4
kloulklubed,75.0,PW,1573430322.0,78.0,7.04,134.26,28.0,6.2
torbay,20.0,CA,1573430322.0,69.0,47.66,-52.73,1.67,3.6
puerto ayora,40.0,EC,1573430323.0,69.0,-0.74,-90.35,24.0,2.1
perigueux,17.0,FR,1573430323.0,100.0,45.18,0.72,4.44,1.5
qaanaaq,0.0,GL,1573430323.0,37.0,77.48,-69.36,-18.18,2.38
san cristobal,82.0,HN,1573430324.0,93.0,14.68,-86.92,19.47,1.58
coahuayana,2.0,MX,1573430324.0,67.0,18.62,-100.35,25.57,0.52
saint george,0.0,GR,1573430324.0,87.0,39.45,22.34,9.0,1.92
mataura,100.0,NZ,1573430325.0,58.0,-46.19,168.86,11.67,4.02
rikitea,99.0,PF,1573430325.0,81.0,-23.12,-134.97,23.56,5.07
amudat,67.0,UG,1573430325.0,65.0,1.95,34.95,21.88,3.04
palora,40.0,EC,1573430326.0,78.0,-1.7,-77.97,24.0,1.0
dir,66.0,CM,1573430326.0,66.0,6.33,13.54,19.08,0.65
kattivakkam,40.0,IN,1573430327.0,88.0,13.22,80.32,25.0,1.0
airai,10.0,TL,1573430327.0,22.0,-8.93,125.41,29.1,2.66
esperance,75.0,AU,1573430328.0,62.0,-33.86,121.89,14.0,6.2
busselton,0.0,AU,1573430328.0,47.0,-33.64,115.35,16.67,5.07
vila franca do campo,20.0,PT,1573430328.0,82.0,37.72,-25.43,17.0,2.6
nevel,100.0,RU,1573430329.0,95.0,56.02,29.92,10.3,2.21
sortland,0.0,NO,1573430329.0,84.0,68.69,15.42,-5.57,5.1
castro,99.0,CL,1573430330.0,72.0,-42.48,-73.76,15.0,3.1
dunedin,100.0,NZ,1573430331.0,85.0,-45.87,170.5,8.89,10.28
plettenberg bay,70.0,ZA,1573430331.0,87.0,-34.05,23.37,17.74,5.46
tuktoyaktuk,5.0,CA,1573430332.0,66.0,69.44,-133.03,-10.0,7.2
kaitangata,100.0,NZ,1573430332.0,58.0,-46.28,169.85,10.56,7.15
saint stephen,1.0,US,1573430333.0,52.0,45.7,-94.27,-6.67,2.1
ginda,70.0,IN,1573430333.0,32.0,30.69,78.49,10.55,1.89
bethel,1.0,US,1573430334.0,86.0,60.79,-161.76,6.0,4.1
mahebourg,40.0,MU,1573430334.0,94.0,-20.41,57.7,21.67,3.6
richards bay,100.0,ZA,1573430335.0,92.0,-28.77,32.06,21.41,10.68
lebu,37.0,ET,1573430335.0,75.0,8.96,38.73,10.34,0.72
port alfred,100.0,ZA,1573430335.0,96.0,-33.59,26.89,17.22,1.79
ushuaia,6.0,AR,1573430336.0,38.0,-54.81,-68.31,16.0,5.1
kapaa,75.0,US,1573430336.0,69.0,22.08,-159.32,28.0,3.6
kaili,17.0,ID,1573430337.0,78.0,-3.46,120.21,20.69,0.52
thompson,75.0,CA,1573430311.0,70.0,55.74,-97.86,-21.0,1.6
upernavik,95.0,GL,1573430338.0,63.0,72.79,-56.15,-3.13,4.73
paamiut,100.0,GL,1573430339.0,85.0,61.99,-49.67,3.12,1.87
chokurdakh,94.0,RU,1573430339.0,96.0,70.62,147.9,-16.38,3.87
lewistown,75.0,US,1573430339.0,80.0,40.39,-90.15,8.0,4.6
nikolskoye,75.0,RU,1573430340.0,87.0,59.7,30.79,7.0,1.0
ilulissat,100.0,GL,1573430340.0,32.0,69.22,-51.1,5.0,8.7
edd,0.0,ER,1573430340.0,40.0,13.93,41.69,28.27,1.04
bandar-e lengeh,0.0,IR,1573430341.0,56.0,26.56,54.88,25.45,7.86
semirom,0.0,IR,1573430341.0,36.0,31.41,51.57,-2.6,1.29
saint-philippe,90.0,CA,1573430341.0,80.0,45.36,-73.48,6.11,5.7
